locale	tatoeba_lang	sentence_id	author	added_utc	modified_utc	license	sentence_url	review_state	source_row_sha256	sentence
ar	ara	331919	hashimi	2009-03-27 12:18:40	2010-06-07 15:53:25	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/331919	human-contributed-unreviewed	75f98f2eea138d86d68061c1916bf26881dc57804f224e99437b9b684330658d	ويل للكافرين
ar	ara	332182	awael58	2009-04-23 19:56:18	2009-04-23 19:59:11	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/332182	human-contributed-unreviewed	f6558a5e397cd8d4b886ef93fc836b2885cc277938e83af02c90926aece59aad	متى أنشئت هذه الجامعة؟
ar	ara	332186	awael58	2009-04-25 11:00:52	2009-04-25 11:00:52	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/332186	human-contributed-unreviewed	ba5fe76e28230a7d80964815e0fb5fbd4a33f83e049bb39f6650de7b2398451c	أراها نادراً
ar	ara	332187	awael58	2009-04-25 11:03:05	2009-04-25 11:03:05	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/332187	human-contributed-unreviewed	de6304f1c8a51031e6d41091d1ffa1d5fa0a2b1886395e9a0b931c9c1e0808a8	يعزف على البيانو بشكل جيد جداً
ar	ara	332191	awael58	2009-04-25 11:08:25	2012-01-02 22:54:27	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/332191	human-contributed-unreviewed	e68a25fde268ef6d831e4bf773a6e5f8052c65e6875cf3552a91b8506c62c161	مع كل احترامي.
ar	ara	332192	awael58	2009-04-25 11:11:19	2009-04-25 11:11:19	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/332192	human-contributed-unreviewed	ca8b3633eedb106697c1aa4b147767cc0d0edb6011b62f29a75e72eafc636d3f	نظف أسنانك
ar	ara	332222	Samer	2009-04-30 05:42:39	2011-04-04 12:38:12	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/332222	human-contributed-unreviewed	bc9d2d491d59225cb11038269e96740f214078ee0f5df16724962c08b29c5f38	أتمنى لك نومًا هادئًا يا تِمِي.‏‏
ar	ara	332223	Samer	2009-04-30 05:46:17	2011-04-04 12:38:48	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/332223	human-contributed-unreviewed	08456616ea76f878b8274ae53bc85731408207babb7ed647ee92eadbd9d3888f	ما اسمُك؟
ar	ara	332224	Samer	2009-04-30 05:51:58	2011-04-04 12:50:59	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/332224	human-contributed-unreviewed	3986a65def3b61f9018327dae721c72be0b446ccbb32960aa35e08c07ae66264	لو سمحت، أضعت طريقي.‏‏
ar	ara	332226	Samer	2009-04-30 05:55:04	2011-04-04 12:53:39	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/332226	human-contributed-unreviewed	8835930fd1448a78420ebbc811bb8d23cc7d844593dc81a27257be0d92530b64	عفوًا.
