locale	tatoeba_lang	sentence_id	author	added_utc	modified_utc	license	sentence_url	review_state	source_row_sha256	sentence
en	eng	1276	CK	0000-00-00 00:00:00	2012-02-05 11:38:18	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1276	human-contributed-unreviewed	83b60df491886686093fe61cf2e54a8f9612d942a99852bc632e4ad5c2c28801	Let's try something.
en	eng	1277	vinhan	\N	2009-11-25 23:20:59	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1277	human-contributed-unreviewed	3f559384739a5cf021f8a45e3ae07ab3950bf43c2e55e53d59cd6c22f855314b	I have to go to sleep.
en	eng	1280	wuiwie	0000-00-00 00:00:00	2019-03-24 11:45:41	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1280	human-contributed-unreviewed	45e42cdd3a3f0a44354e5a23b4cbad1f033f92d5b5c5af9ab853bb9179a43513	Today is June 18th and it is Muiriel's birthday!
en	eng	1282	LeeSooHa	\N	2015-09-24 18:12:33	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1282	human-contributed-unreviewed	8ee956d3a8e39bcf3be1d402ba2ce9159c4558324d35c081b3a54e5e47019f53	Muiriel is 20 now.
en	eng	1283	wuiwie	\N	2019-03-24 11:45:36	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1283	human-contributed-unreviewed	9ce8e39d166a75c5b0b67fd603245d0fe65e1d2b4e0acaf2d38763297b0bd1d6	The password is "Muiriel".
en	eng	1284	brauliobezerra	\N	2010-05-30 13:49:32	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1284	human-contributed-unreviewed	cdaa53bd97aaaace86f8acdc7fe418419db12a436220d955ae4ddd695b0812f3	I will be back soon.
en	eng	1286	wakaran	\N	2009-07-29 01:03:24	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1286	human-contributed-unreviewed	e9fbba7f9c18d995bf9d10eaf0a44682faf1ec92ca6643168a8fc4f8c3ccb033	I'm at a loss for words.
en	eng	1287	CK	\N	2010-10-08 09:01:29	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1287	human-contributed-unreviewed	8dafc4057172b746aecb68e0be9cbcabbc88499921f42c546754663fda753f2f	This is never going to end.
en	eng	1288	CK	\N	2010-10-10 17:39:00	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1288	human-contributed-unreviewed	a59a5ba7f592bbc7f7051c8c85f3279b6d1a4a643924fe4f597b6022fe66f869	I just don't know what to say.
en	eng	1289	djinni74	\N	2010-10-11 03:28:00	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1289	human-contributed-unreviewed	17286050560c29a3f3a76e00dc0a0993d9c69fc143126e5d96221a1e6364dee5	That was an evil bunny.
en	eng	1290	CK	\N	2010-10-08 09:01:35	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1290	human-contributed-unreviewed	606562713ed928eaa3ba22b638683dd26d2c77e10a05bfed7cbe59f5cc3d4992	I was in the mountains.
en	eng	1291	Swift	\N	2010-09-02 13:32:41	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1291	human-contributed-unreviewed	bd51f5d3e2327ee25031d2b0de88d00feb0c1c7c4e5821063c85370b951c2a79	Is it a recent picture?
en	eng	1292	Ramses	\N	2010-06-12 22:41:25	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1292	human-contributed-unreviewed	eb19175d64740d1a784d1f9aed3773dfd68a15d1e4f1d7de0944b19fadbc70a8	I don't know if I have the time.
en	eng	1294	wuiwie	\N	2019-03-24 11:45:11	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1294	human-contributed-unreviewed	185399bf6e2b5759d2e254005ce1198f087738a4123402a8acbc7049de8da329	Education in this world disappoints me.
en	eng	1295	CK	\N	2011-03-13 15:17:58	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1295	human-contributed-unreviewed	c31e73f458a3238815428fa868da873f1ee680189d536c56c254c49d35ff93ae	You're in better shape than I am.
en	eng	1296	CK	\N	2010-06-16 18:01:08	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1296	human-contributed-unreviewed	1f26feac240c79120615557a6564ba2d52a6461bfc2cb4f588235c8992ec88ef	You are in my way.
en	eng	1298	djinni74	\N	2010-12-15 05:19:01	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1298	human-contributed-unreviewed	aafd723b8380bde5d5d37aa7179dbb8cc00720ada3d7160f0f770cd02599e599	This will cost €30.
en	eng	1299	brauliobezerra	\N	2010-08-21 15:37:16	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1299	human-contributed-unreviewed	8d7ec21730f83d8a2e1f1e114fe96bbadff482d8ed4e5795948c52b5d52d160f	I make €100 a day.
en	eng	1300	brauliobezerra	\N	2010-06-15 14:51:44	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1300	human-contributed-unreviewed	e3b0adcf417e90f1e9d44a8d0b72f6417434d9555c91d5de105a04c290159656	I may give up soon and just nap instead.
en	eng	1301	djinni74	\N	2010-10-11 03:30:28	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1301	human-contributed-unreviewed	19d875a7ec77f869d0970139de562afb58ac23e49104774e7d37ca4f2e8b8d95	It's because you don't want to be alone.
en	eng	1302	human600	\N	2010-05-25 23:19:38	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1302	human-contributed-unreviewed	79875d6809d40382865877276b404c108350a7ac3b21ad70c873d7fe79a4d80e	That won't happen.
en	eng	1303	djinni74	\N	2010-10-11 03:29:22	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1303	human-contributed-unreviewed	27a87c143f6b61c0dc282453dc3da0a9e7831fd64a752074f76f201c46969108	Sometimes he can be a strange guy.
en	eng	1304	djinni74	\N	2010-10-11 03:28:55	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1304	human-contributed-unreviewed	013fd61efb0ec66888d470a9f897efad37c4658703381fdefff785842be1de6a	I'll do my best not to disturb your studying.
en	eng	1305	YVasev	\N	2019-04-28 17:44:32	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1305	human-contributed-unreviewed	a29b6b0784aed93f9bc3fa7b607a380c8d6b8e22069b7ae326d26b2001343dd8	I can only wonder if this is the same for everyone else.
en	eng	1306	wakaran	\N	2009-07-29 01:04:25	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1306	human-contributed-unreviewed	f8225b6ffda8d496c686205fc2085dde7525edbdbd3be89b7e5245a3b91151f9	I suppose it's different when you think about it over the long term.
en	eng	1308	brauliobezerra	\N	2010-06-02 01:40:48	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1308	human-contributed-unreviewed	af824be1fff541769a0cc9137f6ac5e0325a80b58d103f58ec5366a8dc29b390	I miss you.
en	eng	1309	papabear	\N	2011-01-24 04:57:41	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1309	human-contributed-unreviewed	22ad2fe4ec161366294eef8f3b6c7526d90d640e8416d9e811b880aeb0c5bd47	I'll call them tomorrow when I come back.
en	eng	1310	human600	\N	2010-08-29 21:43:00	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1310	human-contributed-unreviewed	fcbd589c92ab5cec646b12db6da0a4b9a662e44c6de55ef68ff3dfac38b90a4b	I always liked mysterious characters more.
en	eng	1311	CK	\N	2010-10-13 02:56:52	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1311	human-contributed-unreviewed	e63a14d788c7ca8ae1cce4e554a3e00eb2e4ffdda1b6376084864528040a8211	You should sleep.
en	eng	1312	axcutul	\N	2009-07-13 22:26:22	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1312	human-contributed-unreviewed	5ef2ef6c4ca96a62be37a0c324d274809b0ee710965de9830693f7dc93de7c7a	I'm going to go.
en	eng	1313	Zifre	\N	2013-07-10 09:01:34	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1313	human-contributed-unreviewed	f8bcf1f461b63e57ca7609bd93457387c6048ee9d1f73a94efff48be3351dc5b	I told them to send me another ticket.
en	eng	1314	CM	\N	2012-02-02 04:21:25	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1314	human-contributed-unreviewed	c0a8a6b8a5a56e5f4f3b5c75e16040d052aff96f190610a1e3375605858567d8	You're so impatient with me.
en	eng	1315	CK	\N	2010-10-07 06:51:32	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1315	human-contributed-unreviewed	fd008fce67af18e721b544544f235d81d9ad32a9c8529996c8e0de6db983687e	I can't live that kind of life.
en	eng	1316	papabear	\N	2016-01-04 15:00:06	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1316	human-contributed-unreviewed	2692766a58d8715544116e4afdc9aab8921bcfe12401644e80bd41d8bf01e7cd	I once wanted to be an astrophysicist.
en	eng	1317	brauliobezerra	\N	2010-06-02 02:33:07	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1317	human-contributed-unreviewed	a34e1cfe14bd726fd86cf59c5a508aa18810d90d55773037a330630964afc4b8	I never liked biology.
en	eng	1318	Zifre	\N	2011-01-24 14:40:46	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1318	human-contributed-unreviewed	b4b8c444eec9a8ffc48f0fd2d8296b206dfa6b12a4853e1dd40b6f9fd407a764	The last person I told my idea to thought I was nuts.
en	eng	1319	Ricardo14	\N	2019-05-30 00:04:12	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1319	human-contributed-unreviewed	e8be3cff1b01973c6a6189ac0abd58700034f52e670f224d0111b8774a9ff626	If the world weren't in the shape it is now, I could trust anyone.
en	eng	1320	Zifre	\N	2010-11-14 22:14:52	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1320	human-contributed-unreviewed	7e86976dca46e94bc379de98b278d2b125f298066de3dbf3452fb26cd50d23a1	It is unfortunately true.
en	eng	1321	human600	\N	2010-01-18 19:35:52	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1321	human-contributed-unreviewed	4636016b1aaeabd3e2b50790b4b6283ccf871780d6184e59b9ccadb1ef0e8e96	They are too busy fighting against each other to care for common ideals.
en	eng	1322	CK	\N	2010-06-17 06:39:09	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1322	human-contributed-unreviewed	5123ee6a979ad5b3aacdc779258335e0f65f15f5fdf99d4b279ce4b35d33799e	Most people think I'm crazy.
en	eng	1323	Zifre	\N	2011-01-23 01:11:15	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1323	human-contributed-unreviewed	dd2ac243ef6bd8b1252686292d51eb849276b8b27ecb460b305b8a16edb9b723	No I'm not; you are!
