concept-id	id	es	fr	pt-br	sw	de	ru	zh	ja	ar	hi	tr
0	kamu	tu	vous	você	wewe	Du	ты	你	あなた	أنت	आप	sen
1	saya	yo	je	eu	i	ich	я	我	私は	أنا	मैं	ben
2	itu	el	le	o	ya	die	тот	的	の	ال	द	the
3	untuk	a	à	para	kwa	zu	чтобы	到	に	ل	को	için
4	sebuah	un	un	um	a	a	а	一个	ある	أ	ए	bir
5	itu	's	c'est	de	ya	's	's	的	さんの	's	का	'in
6	itu	eso	il	isso	hiyo	es	это	它	それ	ذلك	यह	o
7	dan	y	et	e	na	und	и	和	そして	و	और	ve
8	itu	eso	que	isso	hiyo	das	что	那个	それ	ذلك	वह	bu
9	tidak	't	't	não	't	Nicht	'т	't	't	ر	'टी	değil
10	dari	de	de	de	ya	von	из	的	の	من	का	arasında
11	adalah	es	est	é	ni	ist	есть	是	です	هو	है	öyle
12	di	en	dans	em	katika	in	в	在	で	في	में	içinde
13	apa	que	quoi	o que	nini	was	что	什么	何	ماذا	क्या	ne
14	kita	nosotros	nous	nós	sisi	wir	мы	我们	私たち	نحن	हम	biz
15	saya	yo	moi	eu	mimi	ich	я	我	私	أنا	मैं	ben
16	ini	esto	ceci	isso	hii	das	это	这个	これ	هذا	यह	bu
17	dia	el	il	ele	yeye	er	он	他	彼は	هو	वह	o
18	untuk	para	pour	para	kwa	für	для	为了	のために	ل	के लिए	için
19	saya	mi	mon	meu	yangu	mein	мой	我的	私の	بلدي	मेरा	benim
20	pada	en	sur	ligado	juu	auf	на	上	に	على	पर	üzerinde
21	punya	tener	avoir	tem	kuwa na	habe	иметь	有	持っています	لديك	है	sahip olmak
22	milikmu	tu	votre	seu	yako	dein	твой	你的	あなたの	الخاص بك	आपका	senin
23	lakukan	hacer	faire	fazer	fanya	tun	делать	做	する	افعل	करो	yap
24	adalah	era	était	foi	ilikuwa	war	был	是	だった	كان	था	öyleydi
25	'm	soy	je suis	estou	'm	bin	я	我	私	'م	'एम	ben
26	tidak	no	non	não	hapana	Nein	нет	不	いいえ	لا	नहीं	hayır
27	tidak	no	pas	não	sivyo	nicht	нет	不	そうではない	لا	नहीं	değil
28	menjadi	ser	être	ser	kuwa	sein	быть	是	なる	يكون	हो	olmak
29	adalah	son	sont	são	ni	sind	являются	是	いる	هي	हैं	öyle
30	mengenakan	don	don	não	don	Don	Дон	唐	ドン	دون	डॉन	don
31	kembali	eres	es	você é	're	Bist	ты	是	ですよ	إعادة	'रे	yeniden
32	tahu	saber	sais	sabe	kujua	wissen	знать	知道	知っています	أعرف	पता है	biliyorum
33	bisa	puede	peut	pode	unaweza	kann	может	可以	できる	يمكن	कर सकते हैं	yapabilir
34	dengan	con	avec	com	na	mit	с	与	と	مع	के साथ	ile
35	tapi	pero	mais	mas	lakini	aber	но	但是	しかし	لكن	लेकिन	ama
36	semua	todos	tout	tudo	zote	alle	все	全部	すべて	الكل	सब	hepsi
37	jadi	entonces	donc	então	hivyo	also	так	所以	それで	هكذا	तो	yani
38	hanya	solo	juste	apenas	tu	einfach	просто	只是	ただ	فقط	बस	sadece
39	di sana	allí	là	lá	hapo	dort	там	那里	そこに	هناك	वहाँ	orada
40	di sini	aquí	ici	aqui	hapa	hier	здесь	这里	ここで	هنا	यहाँ	burada
41	mereka	ellos	ils	eles	wao	sie	они	他们	彼らは	هم	वे	onlar
42	seperti	me gusta	comme	gosto	kama	wie	нравится	喜欢	好き	مثل	जैसे	beğen
43	akan	lo haré	je vais	vou	'll	Werde	буду	会	するよ	سوف	'मैं	yapacağım
44	dapatkan	conseguir	obtenir	obter	pata	bekommen	получить	得到	得る	احصل على	प्राप्त करें	almak
45	dia	ella	elle	ela	yeye	sie	она	她	彼女	هي	वह	o
46	pergi	ir	aller	vá	kwenda	geh	идти	去	行きます	اذهب	जाओ	git
47	jika	si	si	se	ikiwa	wenn	если	如果	もし	إذا	यदि	eğer
48	benar	correcto	à droite	certo	kulia	richtig	правильно	对	そうだよ	صحيح	ठीक है	doğru
49	keluar	fuera	dehors	fora	nje	raus	из	出	アウト	خارج	बाहर	dışarı
50	tentang	acerca de	à propos	sobre	kuhusu	ungefähr	о	关于	について	حول	के बारे में	hakkında
51	naik	arriba	vers le haut	para cima	juu	auf	вверх	向上	上へ	فوق	ऊपर	yukarı
52	di	en	à	em	saa	bei	в	在	で	في	पर	en
53	dia	el	lui	ele	yeye	ihn	он	他	彼	له	उसे	o
54	sekarang	ahora	maintenant	agora	sasa	jetzt	сейчас	现在	今	الآن	अभी	şimdi
55	oh	oh	oh	ah	oh	oh	ох	哦	ああ、	أوه	ओह	ah
56	satu	uno	un	um	moja	eins	один	一	1つ	واحد	एक	bir
57	datang	ven	viens	venha	njoo	komm	приди	来吧	来てください	تعال	आओ	gel
58	baik	bueno	bien	bem	vizuri	Naja	ну	嗯	まあ	حسنا	अच्छा	peki
59	dia	ella	elle	ela	yake	sie	она	她	彼女の	لها	उसे	onun
60	bagaimana	como	comment	como	jinsi gani	wie	как	如何	どうやって	كيف	कैसे	nasıl
61	ya	si	ouais	sim	ndio	ja	да	是的	そうだね	نعم	हाँ	evet
62	sudah	he	ai	já	've	Habe	у меня есть	已经	やった	لقد	'वे	var
63	akan	voluntad	va	vontade	mapenzi	wird	будет	会	するだろう	سوف	होगा	irade
64	dapatkan	tengo	obtenu	tenho	nimepata	bekam	получил	得到了	得た	حصلت	मिल गया	var
65	inginkan	querer	vouloir	quero	kutaka	wollen	хочу	想要	欲しい	تريد	चाहते हैं	istemek
66	berpikir	pensar	pense	pense	fikiri	denke	думать	认为	考える	أعتقد	सोचो	düşünmek
67	sebagai	como	comme	como	kama	als	как	作为	として	كما	जैसे	olarak
68	lihat	ver	voir	veja	ona	siehe	увидеть	看到	参照してください	انظر	देखिये	görmek
69	melakukannya	hizo	fait	fez	alifanya	tat	сделал	做了	した	فعل	किया	yaptım
70	bagus	bueno	bien	bom	nzuri	gut	хорошо	好	良い	جيد	अच्छा	iyi
71	siapa	quien	qui	quem	nani	wer	кто	谁	誰	من	कौन	kim
72	mengapa	por qué	pourquoi	por que	kwa nini	warum	почему	为什么	なぜ	لماذا	क्यों	neden
73	dari	de	de	de	kutoka	von	из	来自	から	من	से	itibaren
74	biarkan	dejar	laisser	deixe	basi	lass	пусть	让	させてください	دعونا	चलो	izin ver
75	miliknya	su	son	dele	yake	sein	его	他的	彼の	له	उसका	onun
76	ya	si	oui	sim	ndio	ja	да	是的	はい	نعم	हाँ	evet
77	kapan	cuando	quand	quando	lini	wann	когда	当	いつ	متى	कब	ne zaman
78	pergi	yendo	aller	indo	kwenda	gehen	собирается	去	行く	الذهاب	जा रहा हूँ	gidiyor
79	waktu	tiempo	temps	hora	wakati	Zeit	время	时间	時間	الوقت	समय	zaman
80	sebuah	un	un	um	na	ein	а	一个	の	ان	एक	bir
81	oke	esta bien	ok	ok	sawa	okay	окей	好的	わかりました	حسنا	ठीक है	tamam
82	kembali	volver	retour	de volta	nyuma	zurück	назад	回来	戻る	العودة	वापस	geri
83	lihat	mira	regarde	olha	tazama	schau	смотри	看看	見てください	انظر	देखो	bak
84	kita	nosotros	nous	nós	sisi	uns	мы	我们	私たち	لنا	हमें	biz
85	akan	haría	serait	faria	ingekuwa	würde	бы	会	するだろう	سوف	होगा	olurdu
86	mereka	ellos	eux	eles	yao	sie	они	他们	彼ら	لهم	उन्हें	onlar
87	dimana	donde	où	onde	wapi	wo	где	哪里	どこで	أين	कहाँ	nerede
88	adalah	fueron	étaient	eram	walikuwa	waren	были	是	いた	كانت	थे	vardı
89	ambil	tomar	prendre	pegue	kuchukua	nehmen	взять	采取	取る	خذ	ले लो	Al
90	lalu	entonces	alors	então	basi	dann	тогда	那么	それから	ثم	फिर	o zaman
91	punya	tenía	avait	tinha	alikuwa	hatte	имел	有	持っていた	كان	था	vardı
92	atau	o	ou	ou	au	oder	или	或	または	أو	या	veya
93	telah	sido	été	esteve	imekuwa	gewesen	был	曾经	いた	تم	गया	oldu
94	milik kita	nuestro	notre	nosso	wetu	unsere	наш	我们的	私たちの	لدينا	हमारा	bizim
95	akan	va a	je vais	vou	nita	werde	собираюсь	会	するつもり	ستعمل	वाला	yapacağım
96	katakan	decir	dire	diga	sema	erzählen	рассказать	告诉	伝える	أخبر	बताओ	söyle
97	sungguh	realmente	vraiment	realmente	kweli	wirklich	действительно	真的	本当に	حقا	वास्तव में	gerçekten
98	laki-laki	hombre	homme	cara	mtu	Mann	мужчина	男人	男	رجل	आदमी	adam
99	beberapa	algunos	certains	alguns	baadhi	einige	некоторые	一些	いくつかの	بعض	कुछ	bazıları
100	katakan	decir	dire	diga	sema	sagen	сказать	说	言う	قل	कहो	demek
101	hei	oye	hé	ei	hujambo	hallo	эй	嘿	おい、	مهلا	अरे	selam
102	bisa	podría	pourrait	poderia	inaweza	könnte	мог бы	可以	できるかもしれない	يمكن	सकता है	olabilir
103	'd	'd	'd	'd	'd	würde	бы	'd	した	د	'डी	'd
104	tidak	lo hizo	est-ce que	não	alifanya	tat es	не сделал	没有	しませんでした	لم يفعل ذلك	किया	yapmadı
105	oleh	por	par	por	kwa	von	по	通过	によって	بواسطة	द्वारा	tarafından
