split	source_locale	source_lang	source_id	source_author	source_license	source_url	source_review_state	source_row_sha256	source_text	target_locale	target_lang	target_id	target_author	target_license	target_url	target_review_state	target_row_sha256	target_text	relation_state	pair_snapshot	pair_archive_url	pair_archive_sha256	pair_link_row_sha256	baseline_name	baseline_output	baseline_exact_target
development	en	eng	1326	brauliobezerra	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1326	human-contributed-unreviewed	a2d620c65d329986dae8a182da110b2d7dcaacb83cd327cc646b096651af7c5d	Are you sure?	sw	swh	3653235	ecorralest101	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/3653235	human-contributed-unreviewed	9ebede6ddf8b06ba5e4f4464b20a00f87c8c1b780c38ce124615ce137af204cf	Je, una uhakika?	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	Are you sure?	0
development	en	eng	1434	awael58	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1434	human-contributed-unreviewed	e95f0e33ed2771d8a74eb5af730256c3444ea280f2e11f67ad4bd77e393665a0	I love you.	sw	swh	369350	Blaz	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369350	human-contributed-unreviewed	461ec12488b486920834e9c98afd9591e8db7fbe9d97aea442113b6a53d96e5b	Nakupenda.	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	I love you.	0
development	en	eng	1712	CK	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1712	human-contributed-unreviewed	4b80b20732893bc97203aa6292cef0740fb8143ac303cee8796b923827766d5f	I have a headache.	sw	swh	842637	riccioberto	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/842637	human-contributed-unreviewed	26fde2437620e4a1357917085af905be07e42e7b914b3e9f26b692a5dd75b7c0	Kichwa kinauma.	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	I have a headache.	0
heldout	en	eng	1775	CM	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1775	human-contributed-unreviewed	330332ef799aa8d6c68d86a30bde02a014bb277f80e40868ad8196edf8f77e2b	Where there's a will, there's a way.	sw	swh	562906	kebukebu	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/562906	human-contributed-unreviewed	90e909ab41bb31754fb12f0062ff026850f4487cc45928cd0474ec1d7c362ddb	Penye nia, pana njia.	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	Where there's a will, there's a way.	0
heldout	en	eng	1860	CK	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1860	human-contributed-unreviewed	12272ffcae1182e83caac2e613ceb62f942ce64c584f217d2d5f5452bdb9a20e	I don't want to go to school.	sw	swh	3633481	ecorralest101	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/3633481	human-contributed-unreviewed	daaa92ff4d9ad0f06e9ac0ed701a72e8fa24ba7ae40e738be5ec895167022a25	Sitaki kwenda shule.	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	I don't want to go to school.	0
development	en	eng	2216	CK	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/2216	human-contributed-unreviewed	f9723b743d5e788680dbb09d19d42ed98f12f83c1af476b1ac0ba7b02c74e24e	Don't forget about us!	sw	swh	369341	Blaz	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369341	human-contributed-unreviewed	7777460d154c6c65b091a4cf7208e33d02ffb1ad323d654af8142e8485054079	Hutusahau!	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	Don't forget about us!	0
development	en	eng	2418	brauliobezerra	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/2418	human-contributed-unreviewed	616e447f08b559ff33977fa11b2d03816d0807067530abc1816e6438b7e996e8	How much is it?	sw	swh	1121720	megamanenm	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1121720	human-contributed-unreviewed	cf841e3cf992845ca3116ffa8bd959d26d1bf7b5e04e70b458ccf14cc395f27e	Ni bei gani?	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	How much is it?	0
development	en	eng	9594	CK	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/9594	human-contributed-unreviewed	57387e718c96b955992186c3cb0181bff83bd5bca84b49250d6c4a69d26b1eaa	Can you keep a secret?	sw	swh	3173001	ecorralest101	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/3173001	human-contributed-unreviewed	f92a3e5d511359fc8dc2bce191a499d7997cb917ad0b2e69c1435daa83c896dc	Je, unaweza kutunza siri?	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	Can you keep a secret?	0
development	en	eng	16492	CK	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/16492	human-contributed-unreviewed	6cc6e34a3300d230e13e0c920b4e9daf7e127e46cd741d5800bbe415899d84a5	What are you doing?	sw	swh	1120863	megamanenm	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1120863	human-contributed-unreviewed	4f0b2875a140e0632cde525e646a5fe7c040b434dec84ca66d0ccde57f5604b1	Unafanya nini?	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	What are you doing?	0
development	en	eng	16492	CK	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/16492	human-contributed-unreviewed	6cc6e34a3300d230e13e0c920b4e9daf7e127e46cd741d5800bbe415899d84a5	What are you doing?	sw	swh	1120867	megamanenm	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/1120867	human-contributed-unreviewed	9c88563677efbfcf68eb96c1ce4c7ff441e03db41d0e26560c7af2564af62ee9	Mnafanya nini?	direct-translation-link-human-contributed-unreviewed	2026-07-18	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	pending-form-sha256-stage	source-copy	What are you doing?	0
