locale	tatoeba_lang	sentence_id	author	added_utc	modified_utc	license	sentence_url	review_state	source_row_sha256	sentence
sw	swh	338673	Sprachprofi	2009-12-04 16:48:41	2010-04-18 12:15:00	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/338673	human-contributed-unreviewed	dcc290d90bc2c293a5f37a1df92d2b0755e5b7095717262444bd8fa74667482c	Ninakupenda.
sw	swh	367523	Blaz	2010-02-24 19:37:22	2010-03-06 18:54:26	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/367523	human-contributed-unreviewed	e7042b06dbfd420e90228d9fd930ed173bb96554f533b625b71c5c5d998ffef5	Nini?
sw	swh	367560	sysko	2010-02-25 00:56:48	2010-03-06 14:35:10	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/367560	human-contributed-unreviewed	ac1a4aec71bd026354d9ea3675dad9fcc4e6d142571129f13ba4980b9f2fd835	Watu wote wamezaliwa huru, hadhi na haki zao ni sawa. Wote wamejaliwa akili na dhamiri, hivyo yapasa watendeane kindugu.
sw	swh	369341	Blaz	2010-03-06 18:55:42	2010-03-06 18:55:42	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369341	human-contributed-unreviewed	7777460d154c6c65b091a4cf7208e33d02ffb1ad323d654af8142e8485054079	Hutusahau!
sw	swh	369342	Blaz	2010-03-06 18:56:12	2018-04-22 21:59:48	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369342	human-contributed-unreviewed	8d31e16af3a21576c796f89821c5505aabb894a2519df3347c8b3f55a9f177c4	Sijui.
sw	swh	369343	Blaz	2010-03-06 18:56:50	2010-03-06 18:56:50	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369343	human-contributed-unreviewed	e30b7a125a7cd59e5042cf367491998bb765d31a6ec357fdcec28ca4def35cc8	Swali nzuri.
sw	swh	369344	Blaz	2010-03-06 18:57:07	2010-03-06 18:57:07	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369344	human-contributed-unreviewed	39404531de1b4562aaca2013f67c9c95fb66476fd55d0050609fb862490859ea	Unakumbuka?
sw	swh	369345	Blaz	2010-03-06 18:57:33	2010-03-06 18:57:33	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369345	human-contributed-unreviewed	479db22a050a77fbf2c4663073e1e1d9406cb05e7edc4d3d1d8b690562213037	Kwenda kwa teksi hotelini.
sw	swh	369347	Blaz	2010-03-06 18:58:27	2010-03-06 18:58:27	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369347	human-contributed-unreviewed	1b5879af5afac58a8007421fc5c9503c773b51c52c43c3c5c2247c9e13856ec1	Usisahau kupeleka barua
sw	swh	369348	Blaz	2010-03-06 18:59:26	2010-03-06 19:52:22	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369348	human-contributed-unreviewed	1cfbe440d1a7608a1ea244e8615a1d11d8f676a7969abed4d8bcb0110b6547ef	Nitarudi.
sw	swh	369349	Blaz	2010-03-06 19:01:16	2010-03-06 19:01:16	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369349	human-contributed-unreviewed	d5938c581996dcd5e94426cc2c30e608fe306b157edc189541cc6425eafb74b0	Nina swali.
sw	swh	369350	Blaz	2010-03-06 19:02:12	2010-03-06 19:50:27	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369350	human-contributed-unreviewed	461ec12488b486920834e9c98afd9591e8db7fbe9d97aea442113b6a53d96e5b	Nakupenda.
sw	swh	369364	Blaz	2010-03-06 19:52:36	2010-03-06 19:54:46	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/369364	human-contributed-unreviewed	69841a61e03c25c75bc2ce1db089f4b8d8fbbd2f0d728a102e0b9af0ed8198fa	Usisahau kupeleka barua.
sw	swh	562906	kebukebu	2010-10-13 05:11:57	2010-10-13 05:26:19	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/562906	human-contributed-unreviewed	90e909ab41bb31754fb12f0062ff026850f4487cc45928cd0474ec1d7c362ddb	Penye nia, pana njia.
sw	swh	700337	Alois	2011-01-05 23:05:44	2011-01-05 23:05:44	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/700337	human-contributed-unreviewed	51c1b508b49f9cb79d80a1b84ced223020cb61f77bdb7c1ba715a62cbc12ad80	Ni kazi yake.
sw	swh	700368	Alois	2011-01-05 23:15:59	2011-01-05 23:15:59	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/700368	human-contributed-unreviewed	be53c8bd4072fffe1cb35ff567e165550458384b75ed313f70d899e5154ee4ba	Kazi yake nini kitu hiki?
sw	swh	700378	Alois	2011-01-05 23:28:16	2011-01-05 23:28:16	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/700378	human-contributed-unreviewed	b0917814922466a5e70950f3871aef90bb27cab62deb52a523f879287b12363f	Nimepata kufanya.
