locale	tatoeba_lang	sentence_id	author	added_utc	modified_utc	license	sentence_url	review_state	source_row_sha256	sentence
hi	hin	440811	minshirui	2010-07-28 09:43:54	2014-02-10 11:05:55	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/440811	human-contributed-unreviewed	62b06ca62d491400bd3f12326fddc2573774fc4f7277ac1a7e4a8589518d56cb	मैं मोहन के साथ गेंद खेलने जा रहा हूँ।
hi	hin	442991	minshirui	2010-07-30 04:15:59	2010-07-30 04:15:59	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/442991	human-contributed-unreviewed	e4f345bc35d7c977307e7f6001dfa26fd1ec84318bbdde150a554185b82adc0b	क्या तुम इसे राज़ रख सकते हो?
hi	hin	443030	minshirui	2010-07-30 06:29:46	2010-07-30 06:29:46	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443030	human-contributed-unreviewed	197567ceda58dc36233bd5a4d8e04282ef4dbb08055f06b6f63701172fc719b7	एवरेस्ट पर्वत दुनिया का सबसे ऊँचा पर्वत शिखर है।
hi	hin	443031	minshirui	2010-07-30 06:32:15	2010-07-30 06:32:15	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443031	human-contributed-unreviewed	61db0f82d886515abab3d423d1b5cfe3a4b403b37c2d95124edc361debf1a89a	आप कहाँ बैठना चाहेंगे?
hi	hin	443032	minshirui	2010-07-30 06:33:48	2015-02-15 17:02:37	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443032	human-contributed-unreviewed	faec0bc415128126332a2efc69413329e835837a1c06f057f876c394200de633	अगर तुम्हारे पास काल यंत्र होता...
hi	hin	443033	minshirui	2010-07-30 06:35:14	2010-07-30 06:35:14	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443033	human-contributed-unreviewed	e9f227f323d38299814585708d51c87872c3d911cd7565038e54c7f18ca9517f	तुम कब लौट कर आओगे?
hi	hin	443034	minshirui	2010-07-30 06:37:42	2010-07-30 06:37:42	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443034	human-contributed-unreviewed	e3ea318126a67ccb2d5cdd64996c3262d67cafadc8d5264dd2ec79d440d067e8	वह अपने दोस्त के साथ बेंच पर बैठा है।
hi	hin	443035	minshirui	2010-07-30 06:38:29	2010-07-30 06:38:29	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443035	human-contributed-unreviewed	d7dd04c21d47a315d3c5cf6aa05413f9415a50e26e91afe809922b4f21e88fce	वह हर सुबह सैर करने जाता है।
hi	hin	443036	minshirui	2010-07-30 06:40:19	2010-07-30 06:40:19	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443036	human-contributed-unreviewed	0af23831eaac3ec271393832feb44b169967626ab224cc68c1ff2b317c9cbf9b	उसके पास बहुत सारी इतिहास की किताबें हैं।
hi	hin	443037	minshirui	2010-07-30 06:40:42	2010-07-30 06:40:42	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443037	human-contributed-unreviewed	8d0a497eff6c589c843f00b2c6717683a12cbdb10fe5abaf6460b06a3d45b029	मेरे पास एक कुत्ता है।
hi	hin	443038	minshirui	2010-07-30 06:42:03	2010-07-30 06:42:03	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443038	human-contributed-unreviewed	0aa13382d17648ce63b8029770c44b9ed3f7690c7b759c1f690cf4924901f5e7	शहर में सबसे अच्छा होटल कौन सा है?
hi	hin	443039	minshirui	2010-07-30 06:43:33	2010-08-08 11:01:42	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/443039	human-contributed-unreviewed	f5c6a27b275418c96f904f9743a1d53b8e8a588fe279ef514ff84a19ad7a5769	इस सप्ताह कौन सी फ़िल्में लगीं हुईं हैं?
