stable_id	legacy_alias	canonical_label	upstream_rank	frequency	wiktionary_page	wiktionary_revision	timestamp	section	english_section_sha256	definition
104	didn	welcoming	10001	2510	210182	90576503	2026-05-09T15:42:14Z	Adjective	d37305eb822d8d61ae3f34502198272e99886d0e0666622cfa698d0bc3aa5c72	[[hospitable]], [[accessible]] and [[cordial]].
187	doesn	evaluation	10003	2509	61735	91372002	2026-06-24T08:14:56Z	Noun	5f4506320d22a5c8edeb0eb054f148b647c23a92c96fbc34744d8472685d62c5	An [[assessment]], such as an annual personnel performance [[review]] used as the basis for a salary increase or bonus, or a summary of a particular situation.
258	wasn	disguised	10008	2506	206207	83217429	2025-01-02T00:06:51Z	Adjective	45d422acbf8d7d98bfdab489833277a621346ff462f81ceb653e3d9684b00b59	Wearing a [[disguise]]; dressed in strange or unusual [[clothes]], or taking on a [[changed]] [[appearance]], especially to [[conceal]] one’s [[identity]].
275	wouldn	precision	10009	2506	70524	90083028	2026-04-08T09:18:10Z	Noun	31dc3e989bbda22d4f62d5c3cc99d9368949de6180f9274ef2ca6ba25bd32937	{{lb|en|broadly}} The state of being [[precise]] or [[exact]]; especially, both [[exact]] and [[accurate]].
335	couldn	cube	10010	2505	3846	91533277	2026-07-08T14:19:33Z	Noun	dc74ebb5f8ff241443ec5c56a3314827afe932cd9b07188ca6accce5eff9dcb1	{{lb|en|geometry}} A [[regular]] [[polyhedron]] having six identical square faces.
563	shouldn	revelation	10011	2505	39757	91376756	2026-06-24T21:12:12Z	Noun	3afd2c048d0e80cb33e58816fd90f7de93e0e9d3f16d0a737c40cb474eb0e771	The act of [[reveal]]ing or [[disclose|disclosing]].
794	hasn	titanic	10012	2505	90191	87326894	2025-10-08T02:29:07Z	Adjective	f227c16390a1a65579c045260357eac6ee6fbecb712bb9616928664f89f547cc	{{lb|en|inorganic chemistry}} Of or relating to [[titanium]], especially [[tetravalent]] titanium.
990	i-i	doggy	10014	2505	89903	90566743	2026-05-09T12:39:59Z	Noun	c3f5c3f18c3d480d89754c2734f1586a4cdcf65e2e87272ba3c94e0a355dc699	{{lb|en|countable|childish|or|endearing}} A [[dog]], especially a [[small]] one.
1157	hadn	babbling	10015	2504	322270	88038593	2025-11-02T08:53:14Z	Noun	51570e535492767cdcbca0881c4397d9b6c2b9c1514a3a1afa11dcb18fefeb00	{{lb|en|uncountable}} a [[stage]] in [[child]] [[language]] [[acquisition]], during which an [[infant]] appears to be experimenting with [[utter]]ing sounds of language, but not yet producing any recognizable words
1166	'ii	dora	10017	2502	384632	90935640	2026-05-25T10:05:35Z	Noun	116a7a450faa7e0c1c0ffdba3c5f64c9fd2392a9c84a2888aa22f4685c1be374	{{lb|en|Japanese|_|mahjong}} Tiles that provide bonus score multiplier points ({{m|ja|飜|tr=han}}) in a winning hand, indicated by one or multiple [[face-up]] tiles in the {{l|en|dead wall|id=mahjong}}.
1605	'all	tenant	10018	2502	98794	90485610	2026-05-04T16:20:38Z	Noun	25a1d4d0dfea4f5f25cd309e6dbd3672bf2c04d3dd63a4468abf214b0cb6fa79	{{senseid|en|P13047}} One who holds a [[lease]] (a [[tenancy]]).
1796	ohh	riches	10019	2502	86649	89277580	2026-01-20T11:52:45Z	Noun	b7fac3bbdfa83888e1566ffcc0337d3b03b7a28c781f0ef526c92e2c3c5883f9	[[money|Money]], [[goods]], [[wealth]], [[treasure]].
