source_locale	target_locale	source_lang	target_lang	snapshot_date	retrieved_utc	license	relation_semantics	archive_url	archive_sha256	archive_bytes	decompressed_sha256	decompressed_bytes
en	id	eng	ind	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-ind_links.tsv.bz2	e945e15dce5341b4c038ddf2d18215e2c68fa522479aad25ca0db2065611fadf	161074	24816bd62ed175e1373d75fd34ffb7eac9a7053105e70a16c95882f925b9c2ea	413595
en	es	eng	spa	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-spa_links.tsv.bz2	c081d35cea48902b29fab0ceb0b857b84f7b5648149dfc281a8fdbdfbf96c805	1753805	4a9c8079268be7ed9727e10ae5653d5a7197a809be5fdc264e25d53a3dc75f20	4424920
en	fr	eng	fra	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-fra_links.tsv.bz2	4b25913ccee443355edb7deb82f7c0094bdbe2d3f64b872e53f9d75cc4a90b40	2639751	a65d2a2a415c038fa1424149f7321554603c84d97a43e68d180e7be9182893eb	6883686
en	pt-br	eng	por	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-por_links.tsv.bz2	345da0e667514e3a71a9707419d3e95385b07b6f42ddd8dcd2eff283264ff885	1850965	f9fe5ed7d69c0aec0bd40651e4b6626073aa39099e74e71390a72aabe2e6e715	4781200
en	sw	eng	swh	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-swh_links.tsv.bz2	81a8c343458bb8fe472f1ff1f76b770da99604693b0b924a42cb1b2426fd30a9	27169	2b0375c04d557d8a61884f92d8559480a35c8b488c26c3d25bea57a292183f70	72120
en	de	eng	deu	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-deu_links.tsv.bz2	03d4f1fbf35b3737a8202a161e5c39c907a3d32410c288850d1dbbe416fec960	3527825	e69ec7194890c11174763183ad6551ecb8e36a55d25f94d46880b626afe5b25a	9371472
en	ru	eng	rus	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-rus_links.tsv.bz2	44e5e43ae98f83a8a4b2cf7e50c2edc51b6f7d8c64bced08fd856c21f7c237e4	4945767	98ca6f501fde8b4db6a380be9b26689c8032a78c6a0bc081ac78e5d2f2a46d53	13242831
en	zh	eng	cmn	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-cmn_links.tsv.bz2	57b193d5a9c274de54e3c3539f30759620de7a8801941b82558c2d2580351db5	477985	70c5008af8d9f9ca211b197953aaefd2835963eefe4bfa8f920c00f5747df6fa	1180805
en	ja	eng	jpn	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-jpn_links.tsv.bz2	0af881c09ff1f8f095f6b4cff8102a067412d77c8f6fc0001b101c680b6182e0	1434932	fbb1df18a358c215548b3b836bcb6542d97a01dc6ac6fb36c580a70a63421adb	4107388
en	ar	eng	ara	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-ara_links.tsv.bz2	1c6ee14b80f3a3cc3eb10b5bfbba628f4f43d5910d21989eaafde8797af73021	298441	e962bbdd709b4c5ccb88574b7e2da410c8384d8e9fdfcc23131f65a5cb47517b	781020
en	hi	eng	hin	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-hin_links.tsv.bz2	274761e617c55465d1abc4286882023e99ab3ab6968735387492acf2e4badd2f	77774	dfa9a4e6c18b683d87759f129015aff44bffcb154755147469fa38b6a20b5616	211824
en	tr	eng	tur	2026-07-18	2026-07-20	CC-BY-2.0-FR	direct-translation-link-human-contributed-unreviewed	https://downloads.tatoeba.org/exports/per_language/eng/eng-tur_links.tsv.bz2	58fe62fdf15cf44e759dba26ebf11aa1e2f7a579e027710f4b23496ed2c9734a	4221418	db7e775b5eb2807973c1106b34ac3f2499bc5552c7b31746767c338e85497aa4	11359110
