synset	en	id	es	fr	pt-br	sw	de	ru	zh	ja	ar	hi	tr
	you	kamu	tu	vous	você	wewe	Du	ты	你	あなた	أنت	आप	sen
14641397-n	i	yodium	yodo	iode	iodo	i	Iod	йод	碘	ヨウ素	يود	जंबुकी	iyot
	the	itu	el	le	o	ya	die	тот	的	の	ال	द	the
	to	untuk	a	à	para	kwa	zu	чтобы	到	に	ل	को	için
13658027-n	a	sebuah	angstrom	ångström	um	a	Ångström	ангстрем	埃格斯特朗	オングストローム	أنغستروم	ए	bir
	's	itu	's	c'est	de	ya	's	's	的	さんの	's	का	'in
06134510-n	it	itu	tecnología de la información	technologie de l'information	TI	hiyo	IT	ИТ	信息技术	アイティー	أي تي	सूचना प्रौद्योगिकी	BT
	and	dan	y	et	e	na	und	и	和	そして	و	और	ve
	that	itu	eso	que	isso	hiyo	das	что	那个	それ	ذلك	वह	bu
	't	tidak	't	't	não	't	Nicht	'т	't	't	ر	'टी	değil
	of	dari	de	de	de	ya	von	из	的	の	من	का	arasında
02604760-v	is	adalah	ser	être	ser	ni	sein	быть	是	ではある	كان	होना	öyle
00501990-r	in	atas	adentro	intérieur	em	katika	innen	внутрь	在	中に	في	में	içinde
	what	apa	que	quoi	o que	nini	was	что	什么	何	ماذا	क्या	ne
	we	kita	nosotros	nous	nós	sisi	wir	мы	我们	私たち	نحن	हम	biz
09092497-n	me	Maine	Maine	me	eu	mimi	ich	я	我	メーン	أنا	मैं	ben
	this	ini	esto	ceci	isso	hii	das	это	这个	これ	هذا	यह	bu
14639921-n	he	helium	helio	hélium	hélio	heli	Helium	гелий	氦	ヘリウム	هيليوم	यानाति	helyum
	for	untuk	para	pour	para	kwa	für	для	为了	のために	ل	के लिए	için
	my	saya	mi	mon	meu	yangu	mein	мой	我的	私の	بلدي	मेरा	benim
00068368-r	on	berlangsung	a lo largo	le long de	ligado	juu	auf	на	上	先へ	على	पर	üzerinde
02203362-v	have	memegang	detentar	posséder	tem	kuwa na	habe	иметь	占有	持っている	ملك	है	sahip olmak
