104	wiktionary:210182:90576503	welcoming	menyambut	dando la bienvenida	accueillant	acolhedor	kukaribisha	einladend	гостеприимный	欢迎	歓迎する	ترحيب	स्वागत करते हुए	karşılama
187	wiktionary:61735:91372002	evaluation	evaluasi	evaluación	évaluation	avaliação	tathmini	Bewertung	оценка	评价	評価	التقييم	मूल्यांकन	değerlendirme
258	wiktionary:206207:83217429	disguised	menyamar	disfrazado	déguisé	disfarçado	kujificha	verkleidet	замаскированный	伪装的	変装した	مقنعة	प्रच्छन्न	gizlenmiş
275	wiktionary:70524:90083028	precision	presisi	precisión	précision	precisão	usahihi	Präzision	точность	精度	精度	الدقة	परिशुद्धता	hassas
335	wiktionary:3846:91533277	cube	kubus	cubo	cube	cubo	mchemraba	Würfel	куб	立方体	立方体	مكعب	घन	küp
563	wiktionary:39757:91376756	revelation	wahyu	revelación	révélation	revelação	ufunuo	Offenbarung	откровение	启示录	啓示	الوحي	रहस्योद्घाटन	vahiy
794	wiktionary:90191:87326894	titanic	raksasa	titánico	titanesque	titânico	titanic	Titanisch	титанический	泰坦尼克号	タイタニック号	تيتانيك	टाइटैनिक	Titanik
990	wiktionary:89903:90566743	doggy	anjing	perrito	chien	cachorrinho	mbwa	Hündchen	собачка	小狗	わんちゃん	هزلي	कुत्ता	köpek
1157	wiktionary:322270:88038593	babbling	mengoceh	balbuceo	babiller	balbuciando	kunguruma	plappern	лепет	胡言乱语	せせらぎ	الثرثرة	बड़बड़ाना	gevezelik
1166	wiktionary:384632:90935640	dora	dora	dora	dora	dora	dora	Dora	Дора	朵拉	ドラ	دورا	डोरा	dora
1605	wiktionary:98794:90485610	tenant	penyewa	inquilino	locataire	inquilino	mpangaji	Mieter	арендатор	租户	テナント	المستأجر	किरायेदार	kiracı
1796	wiktionary:86649:89277580	riches	kekayaan	riquezas	richesses	riquezas	utajiri	Reichtum	богатство	财富	富	ثروات	धन	zenginlik
2054	wiktionary:61586:90771414	diabetes	diabetes	diabetes	diabète	diabetes	kisukari	Diabetes	диабет	糖尿病	糖尿病	مرض السكري	मधुमेह	diyabet
2509	wiktionary:41197:91124038	alternate	bergantian	alternativo	suppléant	alternativo	mbadala	abwechseln	альтернативный	替补	代替	بديل	वैकल्पिक	alternatif
2831	wiktionary:41304:91125278	diversion	pengalihan	desvío	détournement	desvio	mchepuko	Ablenkung	отвлечение внимания	改道	流用	تحويل	ध्यान भटकाना	oyalama
2897	wiktionary:87006:90339262	effectively	secara efektif	efectivamente	efficacement	efetivamente	kwa ufanisi	effektiv	эффективно	有效地	効果的に	بشكل فعال	प्रभावी ढंग से	etkili bir şekilde
3178	wiktionary:61525:89273592	dedication	dedikasi	dedicación	dévouement	dedicação	kujitolea	Hingabe	преданность делу	奉献	献身	التفاني	समर्पण	özveri
3217	wiktionary:62881:91627195	wager	bertaruh	apuesta	parier	apostar	dau	Wette	ставка	打赌	賭ける	الرهان	दांव	bahis
3234	wiktionary:56957:91084001	smelly	bau	maloliente	puant	fedorento	yenye harufu	stinkend	вонючий	臭的	臭い	رائحة كريهة	बदबूदार	pis kokulu
3777	wiktionary:41399:90929527	trench	parit	trinchera	tranchée	trincheira	mtaro	Graben	траншея	战壕	溝	خندق	खाई	hendek
3779	wiktionary:462427:91225218	cameraman	juru kamera	camarógrafo	caméraman	cinegrafista	mpiga picha	Kameramann	оператор	摄影师	カメラマン	مصور	कैमरामैन	kameraman
3797	wiktionary:38354:91526903	batter	adonan	masa	pâte	massa	kugonga	Teig	тесто	面糊	バッター	الخليط	बल्लेबाज	meyilli
3923	wiktionary:4691:91343133	dye	pewarna	tinte	colorant	corante	rangi	Farbstoff	краситель	染料	染料	صبغ	रंगाई	boya
4318	wiktionary:338:90497295	abduction	penculikan	abducción	enlèvement	rapto	utekaji nyara	Entführung	похищение	绑架	誘拐	اختطاف	अपहरण	kaçırma
4321	wiktionary:306284:91419555	prospect	prospek	prospecto	perspective	cliente potencial	matarajio	Aussicht	перспектива	前景	見通し	احتمال	संभावना	umut
4514	wiktionary:40387:91612254	alma	alma	alma	alma	alma	alma	Alma	Альма	阿尔玛	アルマ	ألما	अल्मा	alma
4560	wiktionary:80430:89795173	manslaughter	pembunuhan berencana	homicidio	homicide involontaire	homicídio culposo	mauaji	Totschlag	непредумышленное убийство	过失杀人	過失致死	القتل غير العمد	हत्या	kasıtsız adam öldürme
4885	wiktionary:88974:91533055	remedy	obat	remedio	remède	remédio	dawa	Abhilfe	средство	补救措施	治療法	علاج	उपाय	çare
5019	wiktionary:22890:91526511	damp	lembab	húmedo	humide	úmido	unyevunyevu	feucht	влажный	潮湿	湿った	رطبة	नम	nemli
5073	wiktionary:54670:91604109	thigh	paha	muslo	cuisse	coxa	paja	Oberschenkel	бедро	大腿	太もも	الفخذ	जांघ	uyluk
5120	wiktionary:174011:91065122	cologne	cologne	colonia	eau de Cologne	colônia	cologne	Köln	одеколон	科隆	ケルン	كولونيا	कोलोन	kolonya
5335	wiktionary:2943:90969489	accusation	tuduhan	acusación	accusation	acusação	mashtaka	Vorwurf	обвинение	指控	告発	اتهام	आरोप	suçlama
5867	wiktionary:193695:91372772	outsider	orang luar	forastero	étranger	estranho	mgeni	Außenseiter	посторонний	局外人	部外者	دخيل	बाहरी व्यक्ति	yabancı
5960	wiktionary:60897:91220271	serum	serum	suero	sérum	soro	seramu	Serum	сыворотка	血清	血清	مصل	सीरम	serum
6053	wiktionary:5663:91548864	oral	lisan	orales	orale	oral	kwa mdomo	mündlich	оральный	口头的	口頭	عن طريق الفم	मौखिक	sözlü
6111	wiktionary:54022:90282679	shades	nuansa	sombras	nuances	tons	vivuli	Schattierungen	оттенки	色调	色合い	ظلال	शेड्स	Gölgeler
6164	wiktionary:61116:91611605	woe	celakalah	ay	malheur	ai	ole	wehe	горе	祸患	悲惨だ	ويل	शोक	yazık
6210	wiktionary:41118:91541467	alias	alias	alias	pseudonyme	apelido	pak	Alias	псевдоним	别名	別名	الاسم المستعار	उपनाम	takma ad
6331	wiktionary:34448:91560284	apron	celemek	delantal	tablier	avental	aproni	Schürze	фартук	围裙	エプロン	ساحة	एप्रन	önlük
6404	wiktionary:8561:91608579	vein	vena	vena	veine	veia	mshipa	Vene	вена	静脉	静脈	الوريد	नस	damar
6431	wiktionary:68273:91579641	tonic	tonik	tónico	tonique	tônico	tonic	Tonikum	тоник	补品	トニック	منشط	टॉनिक	tonik
6456	wiktionary:69136:91637518	dim	redup	tenue	faible	escurecer	dim	schwach	тусклый	昏暗	薄暗い	خافت	मंद	loş
6488	wiktionary:62674:91573580	steep	curam	empinado	raide	íngreme	mwinuko	steil	крутой	陡峭	急な	حاد	खड़ी	dik
6895	wiktionary:60937:91497985	sod	tanah	césped	gazon	merda	sod	Mist	дерн	草皮	芝生	أبله	वतन	ot
6901	wiktionary:1540887:91328536	cub	anak	cachorro	petit	filhote	mtoto	Jungtier	детеныш	幼崽	カブ	شبل	शावक	yavru
7025	wiktionary:208186:91619483	eyewitness	saksi mata	testigo ocular	témoin oculaire	testemunha ocular	aliyeshuhudia	Augenzeuge	очевидец	目击者	目撃者	شاهد عيان	प्रत्यक्षदर्शी	görgü tanığı
7048	wiktionary:195626:85505941	flattering	menyanjung	halagador	flatteur	lisonjeiro	kubembeleza	schmeichelhaft	лестный	谄媚	お世辞	الاغراء	चापलूसी	gurur verici
7341	wiktionary:91855:90673487	overdose	overdosis	sobredosis	surdose	overdose	overdose	Überdosis	передозировка	过量	過剰摂取	جرعة زائدة	जरूरत से ज्यादा	aşırı doz
7350	wiktionary:39231:90955406	automobile	mobil	automóvil	automobile	automóvel	gari	Automobil	автомобиль	汽车	自動車	السيارات	ऑटोमोबाइल	otomobil
7370	wiktionary:38382:91312298	loo	toilet	baño	toilettes	loo	loo	Klo	туалет	厕所	トイレ	مرحاض	लू	tuvalet
7403	wiktionary:606808:83255645	bullied	diintimidasi	intimidado	victime d'intimidation	intimidado	kuonewa	gemobbt	издеваются	被欺负	いじめられた	تخويف	धमकाया गया	zorbalığa maruz kalmak
7489	wiktionary:84985:90673216	kidnapper	penculik	secuestrador	kidnappeur	sequestrador	mtekaji nyara	Entführer	похититель	绑匪	誘拐犯	الخاطف	अपहरणकर्ता	adam kaçıran
7532	wiktionary:48540:91494139	dispose	membuang	disponer	disposer	descartar	tupa	entsorgen	распоряжаться	处置	処分する	التخلص	निपटान	elden çıkarmak
7632	wiktionary:76317:91603411	margarita	margarita	Margarita	margarita	margarida	margarita	Margarita	Маргарита	玛格丽塔	マルガリータ	مارغريتا	मार्गरीटा	Margarita
7685	wiktionary:34016:91212605	hash	hash	picadillo	hachage	hash	hashi	Hash	хэш	散列	ハッシュ	التجزئة	हैश	esrar
