id	anchor	morphology_status	lookup	source_status
104	didn	wiktionary-page-missing	exact+capitalized	no-english-definition
187	doesn	wiktionary-page-missing	exact+capitalized	no-english-definition
258	wasn	wiktionary-page-missing	exact+capitalized	no-english-definition
275	wouldn	wiktionary-page-missing	exact+capitalized	no-english-definition
335	couldn	wiktionary-page-missing	exact+capitalized	no-english-definition
563	shouldn	wiktionary-page-missing	exact+capitalized	no-english-definition
794	hasn	wiktionary-page-missing	exact+capitalized	no-english-definition
990	i-i	english-section-missing	exact+capitalized	no-english-definition
1157	hadn	wiktionary-page-missing	exact+capitalized	no-english-definition
1166	'ii	english-section-missing	exact	no-english-definition
1605	'all	wiktionary-page-missing	exact	no-english-definition
1796	ohh	english-section-missing	exact+capitalized	no-english-definition
2054	'clock	wiktionary-page-missing	exact	no-english-definition
2509	mustn	wiktionary-page-missing	exact+capitalized	no-english-definition
2831	'you	wiktionary-page-missing	exact	no-english-definition
2897	you-	wiktionary-page-missing	exact+capitalized	no-english-definition
3178	chffffff	wiktionary-page-missing	exact+capitalized	no-english-definition
3217	just-	wiktionary-page-missing	exact+capitalized	no-english-definition
3234	somethin	wiktionary-page-missing	exact+capitalized	no-english-definition
3777	's-	wiktionary-page-missing	exact	no-english-definition
3779	'the	wiktionary-page-missing	exact	no-english-definition
3797	'and	english-section-missing	exact	no-english-definition
3923	von	english-section-missing	exact+capitalized	no-english-definition
4318	uh-	wiktionary-page-missing	exact+capitalized	no-english-definition
4321	iike	wiktionary-page-missing	exact+capitalized	no-english-definition
4514	mmm-hmm	wiktionary-page-missing	exact+capitalized	no-english-definition
4560	't-	wiktionary-page-missing	exact	no-english-definition
4885	and-	english-section-missing	exact+capitalized	no-english-definition
5019	yöu	wiktionary-page-missing	exact+capitalized	no-english-definition
5073	tae	english-section-missing	exact+capitalized	no-english-definition
5120	that-	wiktionary-page-missing	exact+capitalized	no-english-definition
5335	tryin	wiktionary-page-missing	exact+capitalized	no-english-definition
5867	it-	english-section-missing	exact+capitalized	no-english-definition
5960	mcgee	wiktionary-page-missing	exact+capitalized	no-english-definition
6053	'but	wiktionary-page-missing	exact	no-english-definition
6111	needn	wiktionary-page-missing	exact+capitalized	no-english-definition
6164	sayin	wiktionary-page-missing	exact+capitalized	no-english-definition
6210	i-i-i	wiktionary-page-missing	exact+capitalized	no-english-definition
6331	eun	english-section-missing	exact+capitalized	no-english-definition
6404	me-	english-section-missing	exact+capitalized	no-english-definition
6431	don`t	wiktionary-page-missing	exact+capitalized	no-english-definition
6456	ofthe	wiktionary-page-missing	exact+capitalized	no-english-definition
6488	joon	english-section-missing	exact+capitalized	no-english-definition
6895	thinkin	wiktionary-page-missing	exact+capitalized	no-english-definition
6901	y-you	wiktionary-page-missing	exact+capitalized	no-english-definition
7025	wh	english-section-missing	exact+capitalized	no-english-definition
7048	aaah	english-section-missing	exact+capitalized	no-english-definition
7341	ahhh	english-section-missing	exact+capitalized	no-english-definition
7350	iot	english-section-missing	exact+capitalized	no-english-definition
7370	this-	wiktionary-page-missing	exact+capitalized	no-english-definition
7403	'we	wiktionary-page-missing	exact	no-english-definition
7489	know-	wiktionary-page-missing	exact+capitalized	no-english-definition
